图片名称,颜色1,颜色2,颜色3,颜色4
17さいのうた。,#5E738E,#AEB9C5,#F5F6F2,#FCFDF8
6am,#DBA7BD,#C8DBFB,#A48FBA,#CCDFFD
A Cup Of Coffee,#1A2012,#5E5218,#E47826,#5E5514
A Moment Apart (Deluxe Edition),#946B59,#5D7168,#286171,#9E624A
APT.,#D97F96,#C14760,#F65C82,#F490A2
ASCENSION,#144B52,#1A342B,#425B62,#001C1E
ATOLS／MIKU,#4B0000,#031675,#C3110C,#318AE6
After Tone II,#DBC2AE,#B64847,#C66142,#E0E6E2
Amplify,#020304,#2E2134,#553361,#29617E
A／Z｜aLIEz,#2C71B2,#0E2941,#3B3E51,#0E1213
BEST ALBUM,#BCE5CF,#D99F4E,#C6D36B,#E9FFED
BOOM,#0C070B,#233544,#63322F,#05060A
BOW AND ARROW,#111B50,#001094,#06168F,#1E54DA
Best wishes,#2E3A52,#2E3A48,#564B3B,#222A3D
Between Us,#171D2F,#1B2950,#182671,#1D2643
Blonde,#5F7654,#606068,#433635,#B0B6C0
Butterfly Wing ／ エーデルシュタイン,#1A354A,#3C7994,#2C5F7A,#A672A8
Butterfly ／ Solitude Rain ／ VIVID WORLD【桜坂しずく盤】,#009DDC,#00415B,#019DAC,#014C74
COLORS,#00C142,#B9C012,#713AC1,#0372B7
COWBOY CARTER,#040302,#131212,#1F1712,#1E0F11
Carry on,#0D2182,#2769B3,#AD48BE,#102D57
Celestial,#16B3B3,#178080,#189999,#1FDADA
Chapter III：刺猬,#030200,#16120F,#693612,#010300
Choir ‘S’ Choir,#1C1B1E,#442C4C,#43485C,#463E53
Closer,#BE9484,#D7D7CD,#D7D7CB,#D7D6CB
Colorful Story,#DECE47,#00753A,#00A8CC,#0777C1
Cupid – Twin Ver. (feat. Sabrina Carpenter),#79DDA7,#A5DFC9,#A2DDD9,#A1D0E4
C、Dですと!？,#E30083,#0893BE,#C6B810,#00A300
DEAREST DROP,#0E4C6B,#3696D1,#2F6286,#35A2DD
DEVILMAN crybaby Original Soundtrack,#000000,#630100,#BD2402,#A51A03
DIGIMON HISTORY 1999-2006 All The Best,#A75D8E,#947A8D,#C1A9B3,#F2E4E4
Daisy Crown,#EAB076,#7E9BFD,#E57283,#FADDBB
Dawn FM,#010101,#071923,#1F4452,#09131C
Desktop Magicians,#105590,#013766,#03A8BB,#7B1E4B
Dragon Night,#07070D,#646C47,#664115,#966D2F
Dream It Possible,#661210,#811314,#38464F,#270C11
Drive Your Heart (TV Size),#020D43,#061A5F,#2C53A0,#456CB1
ERA,#010103,#13223D,#09514E,#B812B8
EVILS FOREST,#2C5EA4,#1F366C,#233567,#0D1114
EXIT TUNES PRESENTS GUMing from Megpoid,#8BBB05,#AFCD12,#EF7F00,#EEF665
Equilibrium,#786DB1,#F0C4D1,#DDC2CD,#E4ECEE
Error,#45688E,#F0E6E4,#ADB3D3,#F7F7F7
FAKEit,#146B89,#185164,#579FA7,#DCE7E7
FAREWELL MORNING LIGHT,#D17391,#FFFFFF,#FFFFFF,#6ABBD3
Fairy Castle(Deluxe Edition）,#694078,#A16590,#E96DA9,#7568AE
Fate／stay night [Unlimited Blade Works] オリジナルサウンドトラック II,#522F33,#936C47,#3C1920,#7C0700
Fiction,#391D10,#1C5A7C,#B8551E,#982C32
"Fly, My Wings",#3E4D6E,#3F4E6D,#606277,#4E526F
GIRI GIRI,#04396B,#36846A,#93151F,#411A35
Glossy： MMM,#294598,#3A7BBD,#7FA5C9,#5B90C6
HONEY (Cover),#131579,#3B42EB,#5655F8,#BE79D2
HUNTER×HUNTER ― オリジナル・サウンドトラック Vol.1,#F4E3CF,#FBE5D7,#E4BFA4,#E0BDA1
Henceforth (feat. IA),#408BDE,#5A9CDD,#98C1E8,#D8E9F6
Higher,#417E7E,#849D9C,#C4C4B3,#DFCDB5
HoYoFair2023 原神同人特别节目,#383E51,#192E65,#9CB1DA,#152233
Hurray!!,#845132,#C8935F,#C89C71,#DAB88A
Initial D Best Song Collection 1998-2004,#750A0B,#C60407,#D10508,#7B0909
JUMP！BEAT！PLAY！,#283653,#812635,#41425E,#4661A8
Just Believe!!!,#DF1C84,#972C58,#EB7B4B,#ED7E39
Justice (中国豪华特别版),#081E20,#87A004,#13242B,#148253
J世纪Jeneration大牌新曲+精选盘2006-2009,#07051B,#1F1A54,#172144,#2A2D72
KAF+YOU KAFU COMPILATION ALBUM シンメトリー,#DBC48C,#E8CF94,#FDECDC,#FEFEFD
KAGAYAKI Don't forget!,#CAEFF8,#F30487,#8AD4EB,#3EADDE
Leave This Place,#12244C,#11366A,#FF5792,#1C4F86
Lioness’ Pride,#399ACD,#52ABD5,#9DC9E2,#DEE0EC
Lipstick／一番星,#B67978,#DDC2A4,#D2BFB3,#EFEBE9
Listen to Smile!,#895869,#ADA3C8,#EABE63,#E8EFE7
Lost,#FF9DBC,#FFDCE8,#D65269,#FEE3D8
Love Live! Sunshine!! Third Solo Concert Album ～THE STORY OF “OVER THE RAINBOW”～ starring Ohara Mari,#281E55,#5E388D,#AF46D6,#A62FD6
Love marginal,#F7CDDB,#BD075E,#F8C1D4,#FFECE5
LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Watanabe You,#70C7BF,#A2D9DE,#92D6E7,#F2F6F7
Lunar Calendar,#ADADAD,#C8C8C8,#E3E3E3,#FEFEFE
MANGOTALE,#7EEFB1,#FEE0AC,#FFCFE5,#68EEF7
MUSEUMでどうしたい？,#F2EBDB,#D28E45,#80BCD4,#FBF9FA
Mariage -tribute to Fate-,#062730,#193F40,#54674B,#8B7953
Midnights (3am Edition),#5C667F,#000A1A,#724242,#422332
Monody,#251B26,#2B2B33,#507375,#51727B
Monstrosity,#140E0F,#521616,#6B0C0A,#63070C
NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,#000000,#57511F,#191A1F,#000000
NEW ROMANCER2,#17141F,#640910,#124B47,#232879
Nao'ymt wit'-1st Season-,#0F0B05,#855210,#7C2320,#A65329
Naoko PREMIUM CD BOX 25 discs + photobooks,#72BDDD,#F3DBE9,#94ACC6,#FFFFFF
New Year's March！ ／ ラジオ体操第一（虹ヶ咲学園スクールアイドル同好会 Ver.）,#FDFEF0,#EBE4B6,#F5D896,#DCD295
New me,#F61B91,#FFA3DC,#FBE1FF,#FBE7FB
No title-,#1F1F38,#801849,#086A7E,#2F313E
OFFICIAL ORANGE,#DFD190,#DEA55E,#DFD695,#EDEADD
Oi,#3B1C1E,#FD041C,#FB3241,#F8F8F8
PROVANT,#8E8E8E,#A0A0A0,#CECECE,#FBFBFB
Please Don't Go,#24272B,#434A5A,#757A90,#59686F
Project DIVA-F Complete Collection,#2A477F,#45456B,#81C8CC,#273447
RAiSe! The story of my music,#979CCC,#F3F4F8,#B2DDE1,#E96739
ReFraction -BEST OF PeperonP-,#7E9794,#D7CDCC,#EAE3EA,#F5F3F2
Remember Our Summer,#261913,#C6520E,#F09B1B,#ECD4B3
Resolution,#24284D,#730508,#B33648,#0D163F
Re：放課後,#1D0404,#6A1817,#791F16,#130303
SUMMER VACATION,#346EB7,#4897C0,#ACE2E4,#B4DEDA
SURF&SNOW,#A7534B,#BB837A,#DDB3A2,#FBF4EE
SWEET HURT (期間生産限定盤),#948564,#BDAF93,#C1B3A3,#D3C6B3
SWITCH,#1C1312,#462A27,#6B322D,#A1503C
Serment,#180F08,#49301B,#2B1B0E,#55371B
Seven Doors,#121518,#5A6670,#99A4AE,#E9EFF4
Seyana.,#FFFFFF,#FFC8C3,#FFFFFF,#FFFFFF
Shadow Shape,#332B34,#846168,#202539,#514657
Shine a Light,#757575,#BBBBBB,#E5E5E5,#FAFAFA
Singer,#C4CBDB,#9AA5BF,#B2D2D3,#E9E8E5
