图片名称,用户名,颜色1,颜色2,颜色3,颜色4
0 (zero),Betta_Fish,#DCD9D8,#EDE9E7,#F4F2F0,#FAFAFC
0321,Betta_Fish,#C3C3C3,#66645E,#B1B0AB,#F3F2ED
100 Greatest 10s： The Best Songs of Last Decade,Betta_Fish,#E9CC88,#D59C48,#E5C47F,#F6ECE1
101 80s Anthems,Betta_Fish,#43212C,#021C25,#1F2F19,#010101
17さいのうた。,Betta_Fish,#5E738E,#AEB9C5,#F5F6F2,#FCFDF8
18dB,Betta_Fish,#CBBAFE,#78E2FC,#76D8FD,#84F9F3
19才,Betta_Fish,#A2A0C7,#AD6593,#D4D8C9,#868ED7
2017年中央电视台元宵晚会,Betta_Fish,#FF8AA3,#FEFBF4,#FFD7DA,#FEFAF2
2019四月动漫新番歌曲合集Vol.4,Betta_Fish,#F0FAE2,#D3E9D2,#C7E8D5,#FDFAD1
25時、ナイトコードで。 SEKAI ALBUM vol.1,Betta_Fish,#DDE6F5,#8C9DA6,#C3CDD5,#FBFDFD
2ND GALAXY,Betta_Fish,#553E39,#866E68,#B9A399,#533B39
30,Betta_Fish,#234046,#254047,#1B2E32,#2D5B6A
6am,Betta_Fish,#DBA7BD,#C8DBFB,#A48FBA,#CCDFFD
8BIT MUSIC POWER FINAL- RIKI collection -,Betta_Fish,#037DBE,#D45138,#54A2C7,#3AB0BA
9を眺めた魚達,Betta_Fish,#293237,#363F46,#6A737A,#2C2F34
A BALLADS 2,Betta_Fish,#43383C,#665A66,#3A3031,#565260
A Cup Of Coffee,Betta_Fish,#1A2012,#5E5218,#E47826,#5E5514
A Little More,Betta_Fish,#3C74BE,#4C7BBA,#86AED1,#C0D3E4
A Little Story,Betta_Fish,#635F6F,#090909,#040404,#16110E
A Moment Apart (Deluxe Edition),raspberry_kan,#946B59,#5D7168,#286171,#9E624A
A.I. 爱,Betta_Fish,#0F1243,#57729D,#161D61,#2D315E
ADAMAS (期間生産限定盤),Betta_Fish,#2C1E46,#72338D,#6A1283,#27239E
AIZO,Betta_Fish,#020202,#151515,#CE0A0E,#010101
AM I THE DRAMA？,Betta_Fish,#9EBFD2,#7CA1BC,#B1CFDA,#476A7D
ANIME KIDS,Betta_Fish,#90DCCC,#88CCBD,#88CABC,#FFFFFF
APT.,raspberry_kan,#D97F96,#C14760,#F65C82,#F490A2
ASCENSION,raspberry_kan,#144B52,#1A342B,#425B62,#001C1E
ATOLS／MIKU,Betta_Fish,#4B0000,#031675,#C3110C,#318AE6
ATOLS／MIKU DET EP,Betta_Fish,#442500,#914705,#914102,#A04D00
AWARD STROBE HELLO,Betta_Fish,#F2EFDC,#DFDCCA,#E5DCB3,#F2EFDC
Abnormalize,Betta_Fish,#0D1B10,#514D33,#0E3E26,#0C0F08
Above your hand,Betta_Fish,#11202B,#1B2970,#395B8B,#826490
Abracadabra,Betta_Fish,#1D1D1C,#796557,#1D1D1B,#66432F
Absolute Summer Hits 2013,Betta_Fish,#4B87C6,#6887A6,#147D5C,#2784C7
Across the wind,Betta_Fish,#3690C4,#EFE1D4,#60C7D6,#A8DCE9
After Tone II,raspberry_kan,#DBC2AE,#B64847,#C66142,#E0E6E2
Ain't Perfect,Betta_Fish,#0A0507,#440000,#AE0502,#4A1C1C
Alice in 冷凍庫,Betta_Fish,#1DADD8,#5BBEE3,#9DC7DD,#F5F6F7
All About Us,Betta_Fish,#A9BFCA,#81A3AD,#B3CBD5,#ABB9BA
Ambitious,Betta_Fish,#0B0E12,#645247,#08080A,#9D663F
Amplify,Betta_Fish,#020304,#2E2134,#553361,#29617E
Angel Voices at Christmas,Betta_Fish,#C9DAF6,#5B8BC4,#D0DDEE,#84A3D1
"Angelic Angel ／ Hello, 星を数えて",Betta_Fish,#4F374C,#233B57,#473B53,#2A2647
Anime Slayer,Betta_Fish,#FFFFFF,#B08DCE,#FAB7D4,#FFFFFF
AnimeViolin EDM,Betta_Fish,#252126,#654F51,#4E2E2E,#5E4E4F
Animenz Audios Full Version,Betta_Fish,#040001,#220203,#020001,#4D1D1D
Artificial Paradise (Super Deluxe),Betta_Fish,#FFEFDB,#7CAAA8,#D7A386,#F9E9D5
Atmosphere,Betta_Fish,#04090D,#22345C,#000C2D,#0A0F13
Atomboys,Betta_Fish,#0A0A0A,#282B2B,#777878,#070707
Aurora,Betta_Fish,#021D3B,#1A627C,#619CB6,#00204D
Awaken the power,Betta_Fish,#252D5C,#99455A,#565090,#1D2347
A／Z｜aLIEz,raspberry_kan,#2C71B2,#0E2941,#3B3E51,#0E1213
BEST 2005-2013,Betta_Fish,#923641,#246AB7,#B5565F,#1F2A60
BEST ALBUM,Betta_Fish,#BCE5CF,#D99F4E,#C6D36B,#E9FFED
BEST HIT NARUTO,Betta_Fish,#0B090A,#0D0B0C,#58504E,#0A0809
BEST OF SOUNDTRACK【emU】,Betta_Fish,#0A1836,#1A4375,#5986B6,#182849
BIGGER,Betta_Fish,#703421,#BA7A51,#74120F,#993831
BLACK SHOUT,Betta_Fish,#140607,#615776,#654E6A,#504565
BLEACH BERRY BEST,Betta_Fish,#4C1914,#A60502,#D64C0B,#3D0601
BLUE BACK,Betta_Fish,#030106,#040C76,#C91B3B,#000B7B
BOOM,Betta_Fish,#0C070B,#233544,#63322F,#05060A
BOW AND ARROW,kengwang,#111B50,#001094,#06168F,#1E54DA
BRAVER,Betta_Fish,#2D252A,#665C5C,#2E252A,#353C45
Battlecry,Betta_Fish,#0A0D1C,#353E4E,#5C4039,#060815
Bauklötze,Betta_Fish,#D0D0D0,#FDFDFD,#F4C5CD,#FDFDFD
